雪鹑属	雪鹑
鹬属	小黄脚鹬
鹬属	白腰草鹬
鹬属	林鹬
虹雉属	棕尾虹雉
翘嘴鹬属	翘嘴鹬
鹬属	矶鹬
漂鹬属	灰尾[漂]鹬
漂鹬属	漂鹬
翻石鹬属	翻石鹬
滨鹬属	大滨鹬
滨鹬属	红腹滨鹬
滨鹬属	三趾鹬
虹雉属	白尾梢虹雉
滨鹬属	西方滨鹬
勺嘴鹬属	勺嘴鹬
滨鹬属	小滨鹬
滨鹬属	红颈滨鹬
滨鹬属	青脚滨鹬
滨鹬属	长趾滨鹬
滨鹬属	白腰滨鹬
滨鹬属	黑腰滨鹬
滨鹬属	斑胸滨鹬
滨鹬属	尖尾滨鹬
滨鹬属	岩滨鹬
滨鹬属	黑腹滨鹬
滨鹬属	弯嘴滨鹬
高跷鹬属	高跷鹬
饰胸鹬属	饰胸鹬
阔嘴鹬属	阔嘴鹬
流苏鹬属	流苏鹬
瓣蹼鹬属	红颈瓣蹼鹬
瓣蹼鹬属	灰瓣蹼鹬
彩鹬属	彩鹬
原鸡属	原鸡
水雉属	水雉
铜翅水雉属	铜翅水雉
石鸻属	欧石鸻
大石鸻属	大石鸻
蛎鹬属	蛎鹬
鹮嘴鹬属	鹮嘴鹬
长脚鹬属	黑翅长脚鹬
反嘴鹬属	反嘴鹬
鹇属	黑鹇
鸻属	剑鸻
鸻属	长嘴剑鸻
雪鸡属	暗腹雪鸡
鹇属	白鹇
麦鸡属	凤头麦鸡
麦鸡属	距翅麦鸡
麦鸡属	灰头麦鸡
麦鸡属	肉垂麦鸡
燕鸻属	领燕鸻
燕鸻属	普通燕鸻
燕鸻属	灰燕鸻
大贼鸥属	褐贼鸥
大贼鸥属	麦氏贼鸥
贼鸥属	中贼鸥
鹇属	蓝鹇
贼鸥属	短尾贼鸥
贼鸥属	长尾贼鸥
剪嘴鸥属	剪嘴鸥
鸥属	黑尾鸥
鸥属	海鸥
鸥属	灰翅鸥
鸥属	北极鸥
鸥属	灰背鸥
鸥属	银鸥
鸥属	灰林银鸥
马鸡属	藏马鸡
鸥属	织女银鸥
鸥属	黄脚银鸥
鸥属	渔鸥
鸥属	棕头鸥
鸥属	红嘴鸥
鸥属	细嘴鸥
鸥属	黑嘴鸥
鸥属	遗鸥
鸥属	小鸥
楔尾鸥属	楔尾鸥
马鸡属	白马鸡
叉尾鸥属	叉尾鸥
三趾鸥属	三趾鸥
噪鸥属	鸥嘴噪鸥
燕鸥属	黄嘴河燕鸥
燕鸥属	小凤头燕鸥
燕鸥属	大凤头燕鸥
燕鸥属	黑嘴端凤头燕鸥
燕鸥属	粉红燕鸥
燕鸥属	黑枕燕鸥
马鸡属	褐马鸡
燕鸥属	普通燕鸥
燕鸥属	白额燕鸥
燕鸥属	黑腹燕鸥
燕鸥属	白腰燕鸥
燕鸥属	褐翅燕鸥
燕鸥属	乌燕鸥
浮鸥属	白翅浮鸥
浮鸥属	黑浮鸥
玄燕鸥属	白顶玄燕鸥
马鸡属	蓝马鸡
白玄鸥属	白玄鸥
斑海雀属	斑海雀
扁嘴海雀属	扁嘴海雀
扁嘴海雀属	冠海雀
角嘴海雀属	角嘴海雀
鹗属	鹗
鹃隼属	黑冠鹃隼
蜂鹰属	凤头蜂鹰
黑翅鸢属	黑翅鸢
长尾雉属	白颈长尾雉
鸢属	黑鸢
鸢属	黑耳鸢
海雕属	虎头海雕
渔雕属	渔雕
胡兀鹫属	胡兀鹫
兀鹫属	白背兀鹫
长尾雉属	黑颈长尾雉
兀鹫属	高山兀鹫
兀鹫属	兀鹫
秃鹫属	秃鹫
黑兀鹫属	黑兀鹫
短趾雕属	短趾雕
蛇雕属	蛇雕
鹞属	白头鹞
鹞属	白腹鹞
鹞属	白尾鹞
鹞属	草原鹞
长尾雉属	黑长尾雉
鹞属	鹊鹞
鹞属	乌灰鹞
鹰属	凤头鹰
鹰属	褐耳鹰
鹰属	赤腹鹰
鹰属	日本松雀鹰
鹰属	松雀鹰
鹰属	雀鹰
鹰属	苍鹰
鵟鹰属	白眼鵟鹰
长尾雉属	白冠长尾雉
鵟鹰属	棕翅鵟鹰
鵟鹰属	灰脸鵟鹰
鵟属	普通鵟
鵟属	棕尾鵟
鵟属	大鵟
鵟属	毛脚鵟
林雕属	林雕
雕属	乌雕
雕属	草原雕
雕属	白肩雕
雉鹑属	雉鹑
雉属	雉鸡
雕属	金雕
隼雕属	白腹隼雕
隼雕属	靴隼雕
隼雕属	棕腹隼雕
鹰雕属	鹰雕
小隼属	红腿小隼
小隼属	[白腿]小隼
隼属	黄爪隼
隼属	红隼
隼属	红脚隼
隼属	阿穆尔隼
隼属	灰背隼
隼属	燕隼
隼属	猛隼
隼属	猎隼
隼属	矛隼
隼属	游隼
隼属	拟游隼
烚澥	小烚
烚澥	赤颈烚
锦鸡属	白腹锦鸡
烚澥	凤头烚
烚澥	角烚
烚澥	黑颈烚
鹲属	短尾鹲
鹲属	红尾鹲
鹲属	白尾鹲
鲣鸟属	蓝脸鲣鸟
鲣鸟属	红脚鲣鸟
鲣鸟属	褐鲣鸟
蛇鹈属	黑腹蛇鹈
灰孔雀雉属	灰孔雀雉
鸬鹚属	黑颈鸬鹚
鸬鹚属	[普通]鸬鹚
鸬鹚属	暗绿背鸬鹚
鸬鹚属	红脸鸬鹚
鸬鹚属	海鸬鹚
白鹭属	白鹭
白鹭属	黄嘴白鹭
白鹭属	岩鹭
白鹭属	白颈黑鹭
鹭属	苍鹭
灰孔雀雉属	海南孔雀雉
鹭属	白腹鹭
鹭属	草鹭
白鹭属	中白鹭
牛背鹭属	牛背鹭
池鹭属	池鹭
绿鹭属	绿鹭
夜鹭属	夜鹭
鳽属	海南鳽
鳽属	栗鳽
鳽属	黑冠鳽
苇鳽属	小苇鳽
苇鳽属	黄苇鳽
苇鳽属	紫背苇鳽
苇鳽属	栗苇鳽
黑鳽属	黑鳽
麻鳽属	大麻鳽
火烈鸟属	大火烈鸟[大红鹳]
彩鹮属	彩鹮
镰翅鸡属	镰翅鸡
黑鹮属	黑鹮
朱鹮属	朱鹮
琵鹭属	白琵鹭
琵鹭属	黑脸琵鹭
鹈鹕属	白鹈鹕
鹈鹕属	卷羽鹈鹕
鹈鹕属	斑嘴鹈鹕
鹮鹳属	白头鹮鹳
鹳属	黑鹳
鹳属	白鹳
雷鸟属	柳雷鸟
鹳属	东方白鹳
秃鹳属	秃鹳
军舰鸟属	小军舰鸟
军舰鸟属	白斑军舰鸟
军舰鸟属	白腹军舰鸟
潜鸟属	红喉潜鸟
潜鸟属	黑喉潜鸟
潜鸟属	太平洋潜鸟
潜鸟属	普通潜鸟
潜鸟属	白嘴潜鸟
雷鸟属	岩雷鸟
暴雪鹱属	暴雪鹱
圆尾鹱属	钩嘴圆尾鹱
圆尾鹱属	点额圆尾鹱
纯褐鹱属	纯褐鹱
鹱属	白额鹱
剪水鹱属	曳尾鹱
剪水鹱属	肉足鹱
剪水鹱属	灰鹱
剪水鹱属	短尾鹱
信天翁属	短尾信天翁
琴鸡属	黑琴鸡
信天翁属	黑脚信天翁
信天翁属	黑背信天翁
烟黑叉尾海燕属	烟黑叉尾海燕
叉尾海燕属	白腰叉尾海燕
双辫八色鸫属	双辫八色鸫
八色鸫属	蓝枕八色鸫
八色鸫属	蓝背八色鸫
八色鸫属	栗头八色鸫
雉鹑属	四川雉鹑
松鸡属	西方松鸡
